Item_Identifier,Item_Outlet_Sales,Item_Visibility,Item_Weight,Outlet_Identifier,Outlet_years,MRP_group_Low MRP,MRP_group_Medium MRP,MRP_group_High MRP,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Item_Categoric_Type_Drink,Item_Categoric_Type_Food,Item_Categoric_Type_Non-Consumable,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Item_Fat_Content_LF,Item_Fat_Content_NE,Item_Fat_Content_REG
FDA20,3914.9040000000005,185.324,6.78,OUT013,26,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
NCX05,115.8492,116.2492,15.200000000000001,OUT019,28,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
DRF37,788.9730000000001,263.591,17.25,OUT045,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
FDJ26,1923.4962,215.0218,15.3,OUT046,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDZ25,4074.696,168.27900000000002,15.7,OUT046,16,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDZ58,2817.6656,121.7072,17.85,OUT035,9,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDZ50,6064.1064,184.2608,12.799999999999999,OUT027,28,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
NCG18,205.0664,104.0332,15.3,OUT010,15,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
FDZ56,2863.6058,166.9474,16.25,OUT045,11,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDH50,2213.1192,185.1266,15.0,OUT013,26,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
DRO35,1274.3412,116.1492,13.85,OUT045,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
DRH51,2109.2544,89.1856,17.599999999999998,OUT027,28,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
FDS19,1593.9252,77.3012,13.8,OUT049,14,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
NCM06,2625.9152,153.9656,7.475,OUT018,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
FDP52,4823.721,228.601,18.7,OUT017,6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDK02,119.844,119.244,12.5,OUT010,15,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
FDG59,540.6296,38.3164,15.85,OUT046,16,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDN20,4211.185,169.5474,19.349999999999998,OUT027,28,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
FDO57,4492.8184,161.3578,20.75,OUT018,4,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
NCJ30,1188.453,168.37900000000002,5.82,OUT035,9,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDQ31,175.7712,89.8856,5.785,OUT010,15,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
FDC05,4138.6128,195.7768,13.1,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FDM08,3579.3408,225.1088,10.1,OUT013,26,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
NCA41,3848.324,192.1162,16.75,OUT035,9,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDK15,4960.21,98.9042,10.799999999999999,OUT027,28,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
FDX56,5383.6588,208.5638,17.1,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FDT21,2241.0828,248.9092,7.42,OUT046,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDQ46,671.1264,113.7544,7.51,OUT046,16,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDS01,177.7686,179.6686,11.599999999999998,OUT019,28,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDW34,486.034,242.417,9.6,OUT019,28,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDX07,2380.235,181.195,19.2,OUT035,9,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDN13,201.0716,99.9358,18.6,OUT046,16,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
NCP02,651.8182,59.2562,7.105,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
FDT48,3968.1679999999997,199.8084,4.92,OUT017,6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDZ49,4187.2162,221.5798,11.0,OUT035,9,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
NCJ17,170.4448,84.4224,7.68,OUT010,15,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
FDB17,3078.6592,181.3976,13.15,OUT017,6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDP48,4394.28,182.995,7.52,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
FDI53,2577.9776,162.1236,8.895,OUT049,14,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FDW02,2628.5784,126.7704,4.805,OUT013,26,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDL20,222.3772,112.7886,17.099999999999998,OUT019,28,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDV32,1707.777,62.751000000000005,7.785,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
FDG38,1278.336,86.0224,8.975,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
NCB31,5522.811,262.89099999999996,6.235,OUT027,28,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
FDF52,4013.4424,182.9292,9.3,OUT017,6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDB15,7646.0472,263.7568,10.895,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
FDO48,1768.3648,220.9456,15.0,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
NCR53,5626.01,224.4404,12.15,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
FDF56,3078.6592,180.3976,16.7,OUT013,26,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDL57,3874.9559999999997,257.3304,15.1,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
NCC31,1713.7692,157.7972,8.02,OUT013,26,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
FDE33,1492.7236,78.2644,19.35,OUT049,14,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FDV52,4006.7844,119.7466,20.7,OUT017,6,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDR46,3368.948,147.476,16.849999999999998,OUT027,28,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
DRE12,1245.046,114.586,4.59,OUT046,16,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
FDD57,95.2094,95.5094,18.1,OUT010,15,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
NCS41,2388.8904,185.1608,12.85,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
NCY41,575.2512,34.0532,16.75,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDV22,3755.112,154.463,14.85,OUT017,6,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDF12,1182.4608,149.1076,8.235,OUT045,11,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDM13,262.3252,131.3626,6.425,OUT013,26,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
FDQ56,1342.2528,83.4908,6.59,OUT046,16,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDW55,5478.2024,247.0092,12.599999999999998,OUT027,28,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
NCT29,4629.9732,123.0414,12.6,OUT027,28,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
NCX42,1644.526,163.0526,6.36,OUT017,6,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDR24,1258.362,89.383,17.35,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
NCS42,729.7168,90.5146,8.6,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDL40,2220.4429999999998,96.541,17.7,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
FDD47,3749.7856,171.9448,7.6,OUT046,16,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
DRE03,236.359,48.7718,19.6,OUT046,16,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
NCM18,2043.3402,61.3194,13.0,OUT027,28,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
FDF52,1641.8628,184.2292,9.3,OUT045,11,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
NCG43,1943.4702,91.4462,20.2,OUT045,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDE20,4923.590999999999,171.179,11.35,OUT046,16,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDI33,2554.0088,90.3146,16.5,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
NCT06,2320.9788,165.0842,17.1,OUT013,26,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
FDY24,808.947,53.1298,4.88,OUT035,9,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDZ33,1330.2684,148.7076,10.195,OUT017,6,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDJ55,2475.4444,223.2404,12.8,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
FDE45,716.4008,180.4002,12.099999999999998,OUT019,28,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDD44,3091.9752,258.5646,8.05,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
FDD10,1605.9096,178.0344,20.6,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
FDA39,78.5644,39.9822,6.32,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
FDB36,3410.2276,131.2626,5.465,OUT013,26,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDK52,677.1186,226.2062,18.25,OUT010,15,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
FDJ36,2050.6639999999998,102.0332,14.5,OUT049,14,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
NCB55,829.5868,57.5562,15.7,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
NCK18,660.4736,166.9184,9.6,OUT010,15,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
FDX27,1229.0668,94.9436,20.7,OUT049,14,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FDB08,2727.7826,159.9578,6.055,OUT046,16,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDX43,2330.3,165.05,5.655,OUT046,16,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDA20,1304.968,186.424,6.78,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
FDC04,483.3708,241.3854,15.599999999999998,OUT019,28,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDG17,4153.9262,244.4486,6.865,OUT017,6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDU58,187.0898,188.4898,6.61,OUT010,15,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
FDP24,3877.6192,120.9756,20.599999999999998,OUT027,28,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
NCT29,1462.0968,121.9414,12.6,OUT045,11,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDB08,1765.0358,160.3578,6.055,OUT018,4,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
NCB43,3554.7062,188.3898,20.2,OUT045,11,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDL09,167.7816,168.8816,19.599999999999998,OUT019,28,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
DRK49,446.7518,40.5138,14.15,OUT046,16,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
FDR37,3101.2964,184.4292,16.5,OUT013,26,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDG56,1898.8616,61.0536,13.3,OUT035,9,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDE34,6179.9556,181.7634,9.195,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
FDE16,6668.6528,207.5954,8.894999999999998,OUT027,28,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
FDT58,1342.2528,168.6816,9.0,OUT035,9,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDR03,3095.97,207.898,15.7,OUT035,9,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
NCL30,2173.1712,128.7336,18.1,OUT049,14,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
FDT22,1677.816,59.821999999999996,10.394999999999998,OUT027,28,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
FDP45,5285.1204,253.1724,15.7,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FDS15,2804.3496,107.1596,9.195,OUT013,26,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDF16,1773.6912,146.6076,7.299999999999999,OUT027,28,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
FDL13,4660.6,234.93,13.85,OUT045,11,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
NCV30,126.50200000000001,61.451,20.2,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
FDG33,171.7764,172.2764,5.365000000000001,OUT019,28,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDO10,1603.2464,55.5588,13.65,OUT046,16,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDQ03,2133.2232,238.7248,15.0,OUT013,26,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
NCC55,372.848,36.0848,10.695,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
FDD52,1867.569,109.15700000000001,18.25,OUT027,28,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
FDI16,319.584,54.864,14.0,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
FDB44,4221.1720000000005,210.0586,6.655,OUT046,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDA25,1031.99,101.199,16.5,OUT046,16,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDV33,1808.3128,257.8304,9.6,OUT046,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDX47,1099.9016,155.8288,6.55,OUT049,14,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FDO50,1102.5648,89.8804,16.25,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDV57,2696.49,179.86599999999999,15.25,OUT013,26,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDB02,1235.059,174.537,9.695,OUT035,9,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDD16,74.5696,74.7696,20.5,OUT019,28,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDX02,4950.8888,225.0404,16.0,OUT046,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDP11,435.4332,218.3166,15.85,OUT010,15,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
FDH32,2220.4429999999998,98.241,12.799999999999999,OUT027,28,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
NCL18,3110.6176,193.9136,18.85,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
FDT12,4514.124,224.5062,6.215,OUT045,11,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDD50,3889.6036,167.7132,18.849999999999998,OUT027,28,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
NCU05,1288.9888,80.8618,11.8,OUT049,14,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
FDI56,1733.0774,90.3146,7.325,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
DRL11,1893.5352,159.2946,10.5,OUT049,14,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
FDQ08,1225.072,61.9536,15.7,OUT045,11,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDW20,2463.46,124.973,20.75,OUT027,28,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
FDW46,1043.9744,63.4484,13.0,OUT045,11,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDO09,6574.775,264.491,13.5,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
DRJ49,1679.1476,128.9652,6.865,OUT018,4,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
FDP26,2404.2038,103.0306,7.785,OUT013,26,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
FDO19,972.068,46.9034,17.7,OUT035,9,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
NCG43,277.6386,93.6462,20.2,OUT010,15,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
FDG02,1904.1879999999999,189.5188,7.855,OUT046,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDO32,419.454,45.906000000000006,6.36,OUT035,9,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDR34,4809.7392,229.4352,17.0,OUT046,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDU59,1787.0072,163.5552,5.78,OUT046,16,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDN31,2656.542,187.953,11.5,OUT045,11,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDT55,6942.9624,158.1946,13.599999999999998,OUT027,28,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
FDE08,2375.5744,147.3734,18.2,OUT018,4,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
FDK52,4288.4178,223.8062,18.25,OUT013,26,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
FDW11,990.7104,60.4194,12.6,OUT013,26,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
FDC03,3511.4292,195.3794,8.575,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FDR43,549.285,37.719,18.2,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
FDL14,311.5944,155.2972,8.115,OUT010,15,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
FDP39,571.2564,52.4324,12.65,OUT045,11,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDG29,419.454,40.0454,17.599999999999998,OUT027,28,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
DRH15,1537.9979999999998,41.9428,8.775,OUT046,16,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
FDT11,3755.112,187.7556,5.94,OUT035,9,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDU48,1581.9408,131.5284,18.85,OUT035,9,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDY12,657.8104,49.2008,9.8,OUT013,26,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDS44,5528.1374,238.3538,12.65,OUT017,6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
NCP06,2267.049,149.8366,20.7,OUT018,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
DRH23,718.3982,55.2614,14.65,OUT013,26,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
FDA16,7073.4592,222.8456,6.695,OUT027,28,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
FDT45,491.3604,55.8956,15.85,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
FDE56,1052.6298,61.5194,17.25,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDA40,263.6568,87.4856,16.0,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDA39,628.5152,40.2822,6.32,OUT046,16,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
NCB19,1975.4286,86.7882,6.525,OUT035,9,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDZ34,3861.64,191.882,6.695,OUT013,26,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
FDV22,2816.3340000000003,157.963,14.85,OUT045,11,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDO40,3131.9232,150.7392,17.1,OUT049,14,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
FDD21,4122.6336,115.0176,10.3,OUT013,26,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDO36,3056.022,179.166,19.7,OUT013,26,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
FDV34,1478.076,73.5038,10.695,OUT049,14,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
NCY18,2626.5809999999997,177.1054,7.285,OUT045,11,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
NCM54,3306.3628,127.3678,17.7,OUT018,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
FDB59,793.6336,198.0084,18.25,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
FDS45,211.7244,106.7622,5.175,OUT010,15,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
FDV24,1198.44,148.705,5.635,OUT049,14,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
FDD46,153.7998,155.5998,6.035,OUT010,15,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
FDQ39,3057.3536,191.4846,14.8,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
FDD52,1537.9979999999998,111.65700000000001,18.25,OUT046,16,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDL39,360.8636,179.4318,16.1,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
FDV02,513.3318,170.4106,16.75,OUT018,4,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
FDE11,4257.1252,184.3924,17.7,OUT046,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
NCU54,7130.718000000001,208.92700000000002,8.88,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
FDR43,109.85700000000001,38.319,18.2,OUT010,15,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
FDD51,498.0184,44.9744,11.15,OUT013,26,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
FDO60,490.6946,45.3086,20.0,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
NCS06,5522.811,263.091,7.935,OUT013,26,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
FDX50,1657.842,110.7228,20.1,OUT045,11,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDQ55,3455.502,114.7834,13.65,OUT035,9,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDL52,75.9012,36.7506,6.635,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
FDK52,6771.186,226.1062,18.25,OUT045,11,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
NCO02,988.7130000000001,66.0142,11.15,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
NCO30,918.804,185.6608,19.5,OUT035,9,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDA33,3399.5748,148.2076,6.48,OUT049,14,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
FDB12,1142.5128,102.7648,11.15,OUT013,26,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDT40,3560.6984,125.8678,5.985,OUT013,26,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
NCO05,2759.0752,99.3384,7.27,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDR32,3653.9104,227.5694,6.78,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FDM04,512.6659999999999,50.7666,9.195,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
DRL01,5608.6992,232.8958,19.5,OUT013,26,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
FDQ56,1426.1436,83.9908,6.59,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
FDH08,6201.927,229.601,7.51,OUT046,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
